Origin Postcode,Destination Postcode,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude
TA1 1AA,TA6 9LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0234169,-3.109614,51.0234169,-3.109614
TA1 1AB,TA4 4SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.9444192,-109.201332,44.9444192,-109.201332
TA1 1AD,TA2 8QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.017484419999995,-3.1080419,51.017484419999995,-3.1080419
TA1 1AE,TA21 9GN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.01875855,-3.10222785,51.01875855,-3.10222785
TA1 1AF,TA1 3BU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.020891,-3.112682625,51.020891,-3.112682625
TA1 1AG,TA13 5DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0213534,-3.11600975,51.0213534,-3.11600975
TA1 1AH,TA1 4PU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.020474115384616,-3.1115999307692306,51.020474115384616,-3.1115999307692306
TA1 1AJ,TA3 6TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02122786666667,-3.1027522666666667,51.02122786666667,-3.1027522666666667
TA1 1AL,TA18 8XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0226126,-3.0941824,51.0226126,-3.0941824
TA1 1AN,TA1 9TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0228181,-3.0936068,51.0228181,-3.0936068
TA1 1AP,TA9 3LP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0200598,-3.0991783,51.0200598,-3.0991783
TA1 1AR,TA18 8BU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.022849525,-3.0959546,51.022849525,-3.0959546
TA1 1AS,TA4 4RY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0205739,-3.0981962,51.0205739,-3.0981962
TA1 1AT,TA6 3BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.022185926086955,-3.09331995,51.022185926086955,-3.09331995
TA1 1AU,TA5 1PF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA1 1AW,TA9 3PW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0176061,-3.11280905,51.0176061,-3.11280905
TA1 1AX,TA22 9DX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0224178,-3.0993518,51.0224178,-3.0993518
TA1 1AY,TA21 8WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.01992695,-3.0973752,51.01992695,-3.0973752
TA1 1AZ,TA6 6RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02023715652174,-3.1138146956521737,51.02023715652174,-3.1138146956521737
TA1 1BA,TA11 6RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02150257826087,-3.1047136434782607,51.02150257826087,-3.1047136434782607
TA1 1BB,TA1 4JF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02134842608696,-3.1049689304347825,51.02134842608696,-3.1049689304347825
TA1 1BD,TA7 0DJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02201939411765,-3.1058928647058823,51.02201939411765,-3.1058928647058823
TA1 1BE,TA10 9XZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9581097,-76.6891179,2.9581097,-76.6891179
TA1 1BF,TA2 8QT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.977895,-109.105419,44.977895,-109.105419
TA1 1BG,TA4 1LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0224656,-3.10682135,51.0224656,-3.10682135
TA1 1BH,TA2 7LE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.022819141666666,-3.108182433333333,51.022819141666666,-3.108182433333333
TA1 1BJ,TA3 7DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02265475,-3.1062858,51.02265475,-3.1062858
TA1 1BL,TA6 5AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.66112595,126.91136805401034,37.66112595,126.91136805401034
TA1 1BN,TA10 0JS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02222835,-3.10684228,51.02222835,-3.10684228
TA1 1BP,TA1 1YS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA1 1BQ,TA6 3JB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA1 1BS,TA11 6SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02172828,-3.10608256,51.02172828,-3.10608256
TA1 1BT,TA6 9AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0205605,-3.1056626,51.0205605,-3.1056626
TA1 1BU,TA6 3TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02167002105263,-3.1071904157894736,51.02167002105263,-3.1071904157894736
TA1 1BW,TA19 0YY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02090530909091,-3.104998654545455,51.02090530909091,-3.104998654545455
TA1 1BX,TA6 6DF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02197222142857,-3.107501514285714,51.02197222142857,-3.107501514285714
TA1 1BY,TA4 4PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.022221825,-3.108145575,51.022221825,-3.108145575
TA1 1BZ,TA21 0BY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.023032353333335,-3.111686113333333,51.023032353333335,-3.111686113333333
TA1 1DA,TA4 4DY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0196163,-3.1063298,51.0196163,-3.1063298
TA1 1DB,TA20 2HQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0190874,-3.106123,51.0190874,-3.106123
TA1 1DD,TA24 6DY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7241353,73.6088705,29.7241353,73.6088705
TA1 1DE,TA6 5BH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.019358045454545,-3.1066570181818185,51.019358045454545,-3.1066570181818185
TA1 1DF,TA24 5SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.01898815,-3.1078766,51.01898815,-3.1078766
TA1 1DG,TA1 1WZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.019510456,-3.1088796079999996,51.019510456,-3.1088796079999996
TA1 1DH,TA3 6QY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA1 1DJ,TA21 9GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.01995569285714,-3.10985525,51.01995569285714,-3.10985525
TA1 1DL,TA1 2XZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.019846433333335,-3.1113184,51.019846433333335,-3.1113184
TA1 1DN,TA1 1RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02024011,-3.11204808,51.02024011,-3.11204808
TA1 1DP,TA1 2AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02296477083333,-3.1127620416666666,51.02296477083333,-3.1127620416666666
TA1 1DQ,TA19 0FD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.019943225,-3.1072889850000003,51.019943225,-3.1072889850000003
TA1 1DR,TA4 3SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02383083333333,-3.1136272,51.02383083333333,-3.1136272
TA1 1DS,TA14 6RE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
